ID,lat,lon,ele,time,name,CreationTime
51,43.686431972309947,-74.93159199,478.048676,2024-06-18T16:49:45Z,0051,2024-06-18T16:49:45Z
52,43.686389978975058,-74.93174697,478.048676,2024-06-18T16:50:11Z,0052,2024-06-18T16:50:11Z
53,43.686372963711619,-74.93180296,478.048676,2024-06-18T16:50:20Z,0053,2024-06-18T16:50:20Z
54,43.686318984255195,-74.93193598,478.048676,2024-06-18T16:50:49Z,0054,2024-06-18T16:50:49Z
55,43.686252012848854,-74.93195199,478.048676,2024-06-18T16:51:09Z,0055,2024-06-18T16:51:09Z
56,43.686113962903619,-74.93230001,478.048676,2024-06-18T16:52:18Z,0056,2024-06-18T16:52:18Z
57,43.685898967087269,-74.93274098,478.048676,2024-06-18T16:53:54Z,0057,2024-06-18T16:53:54Z
58,43.685854040086269,-74.93283603,478.048676,2024-06-18T16:54:17Z,0058,2024-06-18T16:54:17Z
59,43.685767035931349,-74.93302798,478.048676,2024-06-18T16:54:54Z,0059,2024-06-18T16:54:54Z
60,43.685727976262569,-74.933103,478.048676,2024-06-18T16:55:07Z,0060,2024-06-18T16:55:07Z
61,43.685724958777428,-74.93312898,478.048676,2024-06-18T16:55:12Z,0061,2024-06-18T16:55:12Z
62,43.685629991814494,-74.93332998,478.048676,2024-06-18T16:56:03Z,0062,2024-06-18T16:56:03Z
63,43.685554973781109,-74.93342704,478.048676,2024-06-18T16:58:34Z,0063,2024-06-18T16:58:34Z
64,43.685446009039879,-74.93352704,478.048676,2024-06-18T16:59:09Z,0064,2024-06-18T16:59:09Z
65,43.685352969914675,-74.93357498,478.048676,2024-06-18T16:59:29Z,0065,2024-06-18T16:59:29Z
66,43.685154989361763,-74.93365796,478.048676,2024-06-18T17:00:18Z,0066,2024-06-18T17:00:18Z
67,43.685087012127042,-74.93373399,478.048676,2024-06-18T17:00:36Z,0067,2024-06-18T17:00:36Z
68,43.68480597,-74.93383197,478.048676,2024-06-18T17:01:44Z,0068,2024-06-18T17:01:44Z
69,43.684743018820882,-74.93386399,478.048676,2024-06-18T17:01:58Z,0069,2024-06-18T17:01:58Z
70,43.684593988582492,-74.93395996,478.048676,2024-06-18T17:02:49Z,0070,2024-06-18T17:02:49Z
71,43.684508996084332,-74.93393599,478.048676,2024-06-18T17:03:09Z,0071,2024-06-18T17:03:09Z
72,43.684426015242934,-74.93394404,478.048676,2024-06-18T17:03:25Z,0072,2024-06-18T17:03:25Z
73,43.684303974732757,-74.933909,478.048676,2024-06-18T17:03:55Z,0073,2024-06-18T17:03:55Z
74,43.684186041355133,-74.93394303,478.048676,2024-06-18T17:04:29Z,0074,2024-06-18T17:04:29Z
75,43.68413700722158,-74.93396097,478.048676,2024-06-18T17:04:43Z,0075,2024-06-18T17:04:43Z
76,43.684040028601885,-74.93397304,478.048676,2024-06-18T17:05:03Z,0076,2024-06-18T17:05:03Z
77,43.683931985870004,-74.93399399,478.048676,2024-06-18T17:05:21Z,0077,2024-06-18T17:05:21Z
78,43.683826960623264,-74.93402199,478.048676,2024-06-18T17:05:36Z,0078,2024-06-18T17:05:36Z
79,43.683586986735463,-74.934039,478.048676,2024-06-18T17:06:26Z,0079,2024-06-18T17:06:26Z
80,43.683509035035968,-74.93408703,478.048676,2024-06-18T17:06:44Z,0080,2024-06-18T17:06:44Z
81,43.683455977588892,-74.93412601,478.048676,2024-06-18T17:06:54Z,0081,2024-06-18T17:06:54Z
82,43.683417001739144,-74.93415903,478.048676,2024-06-18T17:07:01Z,0082,2024-06-18T17:07:01Z
83,43.683401998132467,-74.93416901,478.048676,2024-06-18T17:07:05Z,0083,2024-06-18T17:07:05Z
84,43.683338966220617,-74.93420304,476.21984900000001,2024-06-18T17:07:20Z,0084,2024-06-18T17:07:20Z
85,43.683297978714108,-74.93421603,476.76101699999998,2024-06-18T17:07:28Z,0085,2024-06-18T17:07:28Z
86,43.68319496512413,-74.93429298,478.59918199999998,2024-06-18T17:07:44Z,0086,2024-06-18T17:07:44Z
87,43.683144003152847,-74.93434402,478.05798299999998,2024-06-18T17:07:53Z,0087,2024-06-18T17:07:53Z
88,43.68308499455452,-74.934384,477.82473800000002,2024-06-18T17:08:05Z,0088,2024-06-18T17:08:05Z
89,43.682938981801271,-74.93441803,477.35818499999999,2024-06-18T17:08:36Z,0089,2024-06-18T17:08:36Z
90,43.682810990139842,-74.93440697,477.17156999999997,2024-06-18T17:09:13Z,0090,2024-06-18T17:09:13Z
91,43.682709988206625,-74.93444704,477.47015399999998,2024-06-18T17:09:34Z,0091,2024-06-18T17:09:34Z
92,43.682607980445027,-74.934499,475.73464999999999,2024-06-18T17:09:52Z,0092,2024-06-18T17:09:52Z
93,43.682491974905133,-74.93449599,477.60079999999999,2024-06-18T17:10:19Z,0093,2024-06-18T17:10:19Z
94,43.682437995448709,-74.93451803,477.57278400000001,2024-06-18T17:10:29Z,0094,2024-06-18T17:10:29Z
95,43.682270022109151,-74.93467301,478.44055200000003,2024-06-18T17:11:18Z,0095,2024-06-18T17:11:18Z
96,43.682215036824346,-74.93472699,478.61782799999997,2024-06-18T17:11:33Z,0096,2024-06-18T17:11:33Z
97,43.682172037661076,-74.93473596,478.58984400000003,2024-06-18T17:11:42Z,0097,2024-06-18T17:11:42Z
98,43.682124009355903,-74.934743,475.72531099999998,2024-06-18T17:11:51Z,0098,2024-06-18T17:11:51Z
99,43.682071035727859,-74.93475398,478.26327500000002,2024-06-18T17:12:00Z,0099,2024-06-18T17:12:00Z
100,43.682016972452402,-74.93478902,478.70181300000002,2024-06-18T17:12:11Z,0100,2024-06-18T17:12:11Z
101,43.681961987167597,-74.93484702,478.83242799999999,2024-06-18T17:12:25Z,0101,2024-06-18T17:12:25Z
102,43.681931979954243,-74.93487602,478.77645899999999,2024-06-18T17:12:31Z,0102,2024-06-18T17:12:31Z
103,43.681875988841057,-74.93491902,476.74237099999999,2024-06-18T17:12:44Z,0103,2024-06-18T17:12:44Z
104,43.68184195831418,-74.93492899,479.15902699999998,2024-06-18T17:12:51Z,0104,2024-06-18T17:12:51Z
105,43.681793007999659,-74.93494903,478.84176600000001,2024-06-18T17:13:01Z,0105,2024-06-18T17:13:01Z
106,43.681761994957924,-74.93496696,478.85110500000002,2024-06-18T17:13:09Z,0106,2024-06-18T17:13:09Z
107,43.681744979694486,-74.93498398,478.90707400000002,2024-06-18T17:13:16Z,0107,2024-06-18T17:13:16Z
108,43.681640960276127,-74.93505497,479.131012,2024-06-18T17:13:38Z,0108,2024-06-18T17:13:38Z
109,43.681610031053424,-74.93505497,479.131012,2024-06-18T17:13:43Z,0109,2024-06-18T17:13:43Z
110,43.681563008576632,-74.93507802,479.131012,2024-06-18T17:13:54Z,0110,2024-06-18T17:13:54Z
111,43.681548004969954,-74.935103,479.131012,2024-06-18T17:14:00Z,0111,2024-06-18T17:14:00Z
112,43.68153803050518,-74.93512304,479.131012,2024-06-18T17:14:05Z,0112,2024-06-18T17:14:05Z
113,43.681518,-74.93514801,479.131012,2024-06-18T17:14:13Z,0113,2024-06-18T17:14:13Z
114,43.681385982781649,-74.93532697,479.131012,2024-06-18T17:14:48Z,0114,2024-06-18T17:14:48Z
115,43.68130199611187,-74.93545596,479.131012,2024-06-18T17:15:05Z,0115,2024-06-18T17:15:05Z
116,43.681188002228737,-74.935707,479.131012,2024-06-18T17:16:03Z,0116,2024-06-18T17:16:03Z
117,43.680831016972661,-74.93608503,479.131012,2024-06-18T17:17:35Z,0117,2024-06-18T17:17:35Z
118,43.680503033101559,-74.93627203,479.131012,2024-06-18T17:23:51Z,0118,2024-06-18T17:23:51Z
119,43.680402031168342,-74.93637797,479.131012,2024-06-18T17:24:20Z,0119,2024-06-18T17:24:20Z
120,43.680362971499562,-74.93640102,479.131012,2024-06-18T17:24:29Z,0120,2024-06-18T17:24:29Z
121,43.680309997871518,-74.936454,479.131012,2024-06-18T17:24:44Z,0121,2024-06-18T17:24:44Z
122,43.680299017578363,-74.936468,479.131012,2024-06-18T17:24:46Z,0122,2024-06-18T17:24:46Z
123,43.680272027850151,-74.93649901,479.131012,2024-06-18T17:24:53Z,0123,2024-06-18T17:24:53Z
124,43.680179994553328,-74.93654704,479.131012,2024-06-18T17:25:13Z,0124,2024-06-18T17:25:13Z
125,43.680097013711929,-74.93654603,479.131012,2024-06-18T17:25:27Z,0125,2024-06-18T17:25:27Z
126,43.680038005113602,-74.93651996,479.131012,2024-06-18T17:25:38Z,0126,2024-06-18T17:25:38Z
127,43.67994898930192,-74.93648199,479.131012,2024-06-18T17:25:57Z,0127,2024-06-18T17:25:57Z
128,43.679915964603424,-74.93650898,479.131012,2024-06-18T17:26:07Z,0128,2024-06-18T17:26:07Z
129,43.679903978481889,-74.93653597,479.131012,2024-06-18T17:26:11Z,0129,2024-06-18T17:26:11Z
130,43.679900960996747,-74.936569,479.131012,2024-06-18T17:26:17Z,0130,2024-06-18T17:26:17Z
131,43.679896015673876,-74.93665399,479.131012,2024-06-18T17:26:29Z,0131,2024-06-18T17:26:29Z
132,43.679740028455853,-74.93668199,479.131012,2024-06-18T17:26:55Z,0132,2024-06-18T17:26:55Z
