"","rownames","BB","BND","CC","CS","LLS","LT","MM","NF","NRD","PS","RS","RT","RWF","SMB","SS","ST","WS"
"757","2016_BEF.FBL.011",0,0,0,0,0,0,0.0109649122807018,0,0,0,0,0,0,0.0241228070175439,0,0,0
"758","2016_BEF.FBL.012",0,0,0,0,0,0,0.0178117048346056,0,0,0,0,0,0,0.0330788804071247,0,0,0.00254452926208651
"759","2016_BEF.FBL.013",0,0,0,0,0,0,0.00539568345323741,0,0,0,0,0,0,0.00359712230215827,0,0,0.00719424460431655
"760","2016_BEF.FBL.014",0,0,0.00539083557951483,0,0.00269541778975741,0,0.0161725067385445,0,0,0,0,0,0,0.0134770889487871,0,0,0.00269541778975741
"761","2016_BEF.FBL.015",0,0,0.00264900662251656,0,0,0.00397350993377483,0.00794701986754967,0,0,0,0,0,0,0.0198675496688742,0,0,0
"762","2016_BEF.LML.001",0,0,0,0,0,0.00246913580246914,0.00246913580246914,0,0,0.0493827160493827,0,0,0,0.037037037037037,0.0222222222222222,0,0
"763","2016_BEF.LML.002",0,0,0,0,0.00112233445566779,0.00112233445566779,0,0,0,0.0134680134680135,0.0202020202020202,0,0,0.00448933782267116,0.0123456790123457,0.00112233445566779,0.00112233445566779
"764","2016_BEF.LML.003",0,0,0,0,0,0,0,0,0,0,0.00378310214375788,0,0,0.042875157629256,0.0277427490542245,0,0
"765","2016_BEF.LML.004",0,0,0,0,0.000782472613458529,0.000782472613458529,0,0,0,0.00625978090766823,0.0187793427230047,0,0,0.0054773082942097,0.00782472613458529,0,0.00704225352112676
"766","2016_BEF.LML.005",0,0,0.0131118881118881,0,0,0,0.00961538461538462,0,0,0.0812937062937063,0.00524475524475524,0,0,0.0297202797202797,0.0034965034965035,0,0.00961538461538462
"767","2016_BEF.LML.006",0,0,0,0.00317965023847377,0,0,0,0,0,0.0206677265500795,0,0,0,0.0651828298887122,0.00476947535771065,0,0.00158982511923688
"768","2016_BEF.LML.007",0,0,0.000986193293885602,0,0.0029585798816568,0.000986193293885602,0,0,0,0.0019723865877712,0,0,0,0.0443786982248521,0.029585798816568,0,0
"769","2016_BEF.LML.008",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341296928327645,0.0170648464163823,0,0
"770","2016_BEF.LML.009",0,0,0,0.000932835820895522,0,0.00279850746268657,0,0,0,0.0102611940298507,0.000932835820895522,0,0,0.0457089552238806,0.00932835820895522,0.00186567164179104,0
"771","2016_BEF.LML.010",0,0,0.000674763832658569,0.00337381916329285,0.000674763832658569,0.00202429149797571,0.000674763832658569,0,0,0.0337381916329285,0.00134952766531714,0,0,0.0721997300944669,0.0114709851551957,0.00134952766531714,0
"772","2016_BEF.LML.011",0,0,0,0,0,0.00245700245700246,0,0,0,0.0221130221130221,0.00737100737100737,0,0,0.108108108108108,0.00368550368550369,0,0.00122850122850123
"773","2016_BEF.LML.012",0,0,0.00117096018735363,0,0,0.00234192037470726,0,0,0,0.0152224824355972,0.0152224824355972,0,0,0.0398126463700234,0.0245901639344262,0,0.00117096018735363
"774","2016_BEF.LML.013",0,0,0,0,0.004,0,0,0,0,0.04,0.004,0,0,0.096,0.008,0,0
"775","2016_BEF.LML.014",0,0,0,0,0.003125,0.0078125,0,0,0,0.0234375,0.003125,0,0,0.075,0.0125,0.003125,0.0015625
"776","2016_BEF.LML.015",0,0,0,0,0,0.00441501103752759,0,0,0,0.0485651214128035,0,0,0,0.0772626931567329,0.00883002207505519,0,0.00441501103752759
"777","2016_BEF.LML.016",0,0,0,0,0,0,0,0,0,0.023972602739726,0,0,0,0.0684931506849315,0.00342465753424658,0,0
"778","2016_BEF.LML.017",0,0,0,0.0100376411543287,0,0,0.00125470514429109,0,0,0.00752823086574655,0,0,0,0.0376411543287327,0.00125470514429109,0,0.0112923462986198
"779","2016_BEF.LML.018",0,0,0.00246913580246914,0.0444444444444444,0,0,0.00987654320987654,0,0,0.0395061728395062,0,0,0,0.0148148148148148,0,0.00493827160493827,0.0123456790123457
"780","2016_BEF.LML.019",0,0,0.0241758241758242,0.043956043956044,0,0.0021978021978022,0.0021978021978022,0,0,0.0593406593406593,0.0021978021978022,0,0,0.00879120879120879,0,0.0021978021978022,0
"781","2016_BEF.LML.020",0,0,0.00292397660818713,0.0263157894736842,0,0.000974658869395711,0.00194931773879142,0,0,0.0419103313840156,0,0,0,0.0584795321637427,0.00389863547758285,0.00194931773879142,0
"782","2016_BEF.LML.021",0,0,0.0135396518375242,0.0483558994197292,0,0,0.00193423597678917,0,0,0.0193423597678917,0.00193423597678917,0,0,0.00580270793036751,0.011605415860735,0,0
"783","2016_BEF.LML.022",0,0,0,0.00254777070063694,0,0,0,0,0,0,0.00127388535031847,0,0,0.0165605095541401,0.0165605095541401,0,0.00127388535031847
"784","2016_BEF.LML.023",0,0,0.000955109837631328,0,0,0.00191021967526266,0.00764087870105062,0,0,0.00859598853868195,0,0,0.000955109837631328,0.0372492836676218,0.0143266475644699,0.00286532951289398,0.000955109837631328
"785","2016_BEF.LML.024",0,0,0.0087463556851312,0,0.00291545189504373,0.00583090379008746,0.00583090379008746,0,0,0.0145772594752187,0,0,0,0.0670553935860058,0.0291545189504373,0,0
"786","2016_BEF.LML.025",0,0,0.0123796423658872,0.00137551581843191,0,0,0.00550206327372765,0,0,0.0137551581843191,0,0,0,0.0275103163686382,0.00962861072902338,0,0
"787","2016_BEF.LML.026",0,0,0,0.00959232613908873,0,0,0,0,0,0.0167865707434053,0,0,0,0.0599520383693046,0.0119904076738609,0,0
"788","2016_BEF.LML.027",0,0,0,0.0032258064516129,0,0,0.0032258064516129,0,0,0.0225806451612903,0,0,0,0.0354838709677419,0.00806451612903226,0,0
"789","2016_BEF.LML.028",0,0,0.00243013365735115,0.0194410692588092,0,0,0.00607533414337789,0,0,0.0121506682867558,0,0,0,0.0109356014580802,0.00364520048602673,0,0.00121506682867558
"790","2016_BEF.LML.029",0,0,0,0.00127388535031847,0,0,0,0,0,0,0,0,0,0.086624203821656,0.00254777070063694,0,0
"791","2016_BEF.LML.030",0,0,0,0,0,0,0,0,0,0.00816993464052288,0,0,0,0.122549019607843,0.00163398692810458,0,0.000816993464052288
"792","2016_BEF.LML.031",0,0,0.0023441162681669,0,0.00046882325363338,0.00093764650726676,0.00140646976090014,0,0,0.0140646976090014,0.0257852789498359,0,0,0.00796999531176746,0.0192217533989686,0,0.00281293952180028
"793","2016_BEF.LML.032",0,0,0.012779552715655,0.012779552715655,0,0,0,0,0,0.00958466453674121,0.00319488817891374,0,0,0.00638977635782748,0.00958466453674121,0,0.00638977635782748
"794","2017_BEF.FBL.001",0,0,0.0107913669064748,0,0.00719424460431655,0,0.00359712230215827,0,0,0,0,0,0,0.12589928057554,0,0.00359712230215827,0.00359712230215827
"795","2017_BEF.FBL.002",0,0,0,0,0.00967741935483871,0,0,0,0,0,0,0,0,0.0161290322580645,0,0.00645161290322581,0
"796","2017_BEF.FBL.003",0,0,0,0,0.00529100529100529,0,0.00529100529100529,0,0,0,0,0,0,0.037037037037037,0,0,0.00529100529100529
"797","2017_BEF.FBL.004",0,0,0,0,0,0,0,0,0,0,0,0,0,0.099290780141844,0,0,0
"798","2017_BEF.FBL.005",0,0,0,0,0.00425531914893617,0,0,0,0,0,0,0,0,0.165957446808511,0,0,0
"799","2017_BEF.FBL.006",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851851851851852,0,0,0
"800","2017_BEF.FBL.007",0,0,0.00464037122969838,0,0,0,0.00696055684454756,0,0,0,0,0,0,0.0788863109048724,0,0,0.00232018561484919
