"","BB_1","BB_2","CC_1","CC_2","CS_1","CS_2","LT_1","LT_2","MM_1","MM_2","PS_1","PS_2","RS_1","RS_2","RWF_2","SMB_1","SMB_2","SS_1","SS_2","WS_1","WS_2"
"2014_BEF.LML.018",0,0,0,0,0.037117903930131,0,0,0,0,0,0.074235807860262,0.00436681222707424,0,0,0,0.0131004366812227,0.0109170305676856,0,0.00218340611353712,0,0.00873362445414847
"2014_BEF.LML.019",0,0,0.00602409638554217,0.00301204819277108,0.00903614457831325,0.00301204819277108,0,0,0,0.00301204819277108,0.0843373493975904,0.00602409638554217,0.00903614457831325,0,0,0.00903614457831325,0.0150602409638554,0,0,0.00301204819277108,0
"2014_BEF.LML.020",0,0,0,0.0016366612111293,0,0.0016366612111293,0,0,0,0,0.072013093289689,0.00327332242225859,0,0,0,0.044189852700491,0.0360065466448445,0,0,0,0
"2014_BEF.LML.021",0,0,0.0337552742616034,0,0,0,0,0,0,0,0.0253164556962025,0,0.00421940928270042,0,0,0.0126582278481013,0.00843881856540084,0.00421940928270042,0,0,0
"2014_BEF.LML.022",0,0,0.0297297297297297,0,0.0702702702702703,0.0027027027027027,0,0,0,0,0.0378378378378378,0,0.0027027027027027,0,0,0.00540540540540541,0,0,0.00540540540540541,0,0.0027027027027027
"2014_BEF.LML.023",0,0,0.00120772946859903,0,0.00483091787439614,0.00241545893719807,0.00120772946859903,0,0,0,0.00120772946859903,0,0.0036231884057971,0,0,0,0.00483091787439614,0.00241545893719807,0.0036231884057971,0,0.0036231884057971
"2014_BEF.LML.024",0,0,0,0,0,0,0.0012987012987013,0,0,0,0.0103896103896104,0,0.0103896103896104,0,0,0.00779220779220779,0.0038961038961039,0.0012987012987013,0.00909090909090909,0,0
"2014_BEF.LML.025",0,0,0,0,0.0021505376344086,0,0,0,0,0.0021505376344086,0.0172043010752688,0,0.0043010752688172,0.0021505376344086,0,0.0279569892473118,0.00860215053763441,0,0.0021505376344086,0,0
"2014_BEF.LML.026",0,0,0.0032,0,0.0048,0.0032,0.0016,0.0016,0.0016,0,0.0528,0.0048,0.0016,0,0,0.0192,0.0096,0,0,0.0016,0
"2014_BEF.LML.027",0,0,0,0,0,0,0,0,0,0,0.0211081794195251,0.00263852242744063,0,0,0,0.0606860158311346,0.0263852242744063,0,0,0,0
"2014_BEF.LML.028",0,0,0.00675675675675676,0,0,0,0,0,0,0,0.0630630630630631,0.00675675675675676,0,0,0,0.0135135135135135,0.00675675675675676,0,0,0,0
"2014_BEF.LML.029",0,0,0.00297619047619048,0.00148809523809524,0,0,0,0,0.00148809523809524,0.00148809523809524,0.0267857142857143,0,0.0148809523809524,0.00148809523809524,0,0.00297619047619048,0.00148809523809524,0,0,0,0
"2014_BEF.LML.030",0,0,0,0,0,0,0,0,0,0,0.0112359550561798,0,0.0224719101123595,0,0,0.0589887640449438,0.0168539325842697,0,0.00561797752808989,0,0
"2014_BEF.LML.031",0,0,0,0,0,0,0,0,0,0,0.00797448165869218,0.00637958532695375,0.00159489633173844,0,0,0.0813397129186603,0.0318979266347687,0,0.00159489633173844,0,0
"2014_BEF.LML.032",0,0,0.0039241334205363,0,0.00850228907782865,0.00065402223675605,0.00065402223675605,0,0.00065402223675605,0.0013080444735121,0.00719424460431655,0.00196206671026815,0.00196206671026815,0,0.00065402223675605,0.0091563113145847,0.0052321778940484,0,0.0026160889470242,0.00065402223675605,0.0013080444735121
"2015_BEF.LML.001",0,0,0,0,0,0,0,0,0,0,0,0.00884955752212389,0.0294985250737463,0,0,0.0442477876106195,0.0412979351032448,0.00589970501474926,0.023598820058997,0,0
"2015_BEF.LML.002",0,0,0,0,0,0,0,0,0,0,0.00330578512396694,0,0.0380165289256198,0,0.00165289256198347,0.0198347107438017,0.00330578512396694,0.00495867768595041,0.00661157024793388,0,0
"2015_BEF.LML.003",0,0,0,0,0,0,0,0,0,0,0.00134589502018843,0.00134589502018843,0.0174966352624495,0,0,0.0969044414535666,0.0121130551816958,0,0.0107671601615074,0,0
"2015_BEF.LML.004",0,0,0.0175718849840256,0,0,0,0,0,0,0,0.0191693290734824,0,0.10702875399361,0,0,0,0.00159744408945687,0,0,0,0
"2015_BEF.LML.005",0,0,0.010221465076661,0,0.0221465076660988,0,0,0,0,0.000851788756388416,0.0366269165247019,0.0136286201022147,0.00170357751277683,0,0,0.0272572402044293,0.0255536626916525,0,0.000851788756388416,0,0.00255536626916525
"2015_BEF.LML.006",0,0,0.0014367816091954,0,0.0014367816091954,0,0,0,0,0,0.0100574712643678,0.0028735632183908,0.0014367816091954,0,0,0.0890804597701149,0.0775862068965517,0,0,0,0.0014367816091954
"2015_BEF.LML.007",0,0,0,0,0,0,0,0,0,0,0.00168067226890756,0.00840336134453781,0.00672268907563025,0,0,0.0571428571428571,0.0352941176470588,0.00336134453781513,0.0151260504201681,0,0
"2015_BEF.LML.008",0,0,0,0,0,0,0,0,0,0,0,0.00389105058365759,0,0,0,0.0155642023346304,0.0350194552529183,0.00389105058365759,0.0116731517509728,0,0
"2015_BEF.LML.009",0,0,0.00120918984280532,0,0,0,0,0,0,0,0.00967351874244256,0.00846432889963724,0.00120918984280532,0,0,0.090689238210399,0.0483675937122128,0.00241837968561064,0.0133010882708585,0,0
"2015_BEF.LML.010",0,0,0,0,0.00325732899022801,0,0,0,0,0.001085776330076,0.0260586319218241,0.011943539630836,0.001085776330076,0,0,0.0694896851248643,0.0434310532030402,0,0.00325732899022801,0,0
"2015_BEF.LML.011",0,0,0,0,0,0,0,0,0,0,0.00434310532030402,0.0152008686210641,0.001085776330076,0,0,0.0618892508143322,0.0553745928338762,0,0.00217155266015201,0,0
"2015_BEF.LML.012",0,0,0,0,0,0,0,0,0,0,0.0181347150259067,0.0129533678756477,0.00518134715025907,0,0,0.0336787564766839,0.00518134715025907,0.00259067357512953,0.00259067357512953,0,0
"2015_BEF.LML.013",0,0,0,0,0,0,0,0,0,0,0.0127931769722814,0.0149253731343284,0.00426439232409382,0,0,0.0511727078891258,0.0767590618336887,0,0.00426439232409382,0,0.00213219616204691
"2015_BEF.LML.014",0,0,0,0,0.0105017502917153,0.00116686114352392,0,0,0,0,0.0105017502917153,0.00466744457409568,0.00116686114352392,0,0,0.029171528588098,0.0245040840140023,0,0.00466744457409568,0,0
"2015_BEF.LML.015",0,0,0,0,0.0131926121372032,0,0,0,0,0,0.0422163588390501,0.0131926121372032,0.0263852242744063,0,0,0.0659630606860158,0.0474934036939314,0,0.00527704485488127,0,0.00263852242744063
"2015_BEF.LML.016",0,0,0,0,0,0,0,0,0,0,0.0072463768115942,0,0.0434782608695652,0,0,0.072463768115942,0.0326086956521739,0,0,0,0.0036231884057971
"2015_BEF.LML.017",0,0,0,0,0,0,0,0,0,0,0.00457317073170732,0,0,0,0,0.0274390243902439,0.0167682926829268,0,0,0,0.00152439024390244
"2015_BEF.LML.018",0,0,0.00959692898272553,0,0.0882917466410749,0,0,0,0.00191938579654511,0,0.0479846449136276,0.0134357005758157,0,0,0,0.0115163147792706,0.0134357005758157,0.00191938579654511,0,0,0
"2015_BEF.LML.019",0,0,0,0,0.0279187817258883,0,0,0,0,0,0.0685279187817259,0.0126903553299492,0.00761421319796954,0,0,0.0304568527918782,0.0177664974619289,0,0,0,0.00253807106598985
"2015_BEF.LML.020",0,0,0.00160771704180064,0,0.00643086816720257,0,0,0,0,0,0.0353697749196141,0.0112540192926045,0,0,0,0.0418006430868167,0.0353697749196141,0.00321543408360129,0,0.00803858520900321,0
"2015_BEF.LML.021",0,0,0.00208333333333333,0.00208333333333333,0.0479166666666667,0.00208333333333333,0.00208333333333333,0,0,0,0.00833333333333333,0,0.0125,0,0,0.00208333333333333,0,0,0.00416666666666667,0.00208333333333333,0
"2015_BEF.LML.022",0,0,0.00124069478908189,0.00124069478908189,0.00248138957816377,0,0,0,0,0,0,0.00248138957816377,0.0148883374689826,0,0,0.0198511166253102,0.00620347394540943,0.00124069478908189,0.00248138957816377,0,0.00124069478908189
"2015_BEF.LML.023",0,0,0.00221238938053097,0,0.00442477876106195,0,0,0,0,0.00110619469026549,0.00110619469026549,0.00221238938053097,0.0298672566371681,0,0,0.0143805309734513,0.00663716814159292,0.00110619469026549,0.00553097345132743,0,0
